#Country,Median consumer price ratio of selected generic medicines - Private,Median consumer price ratio of selected generic medicines - Public
Country,CPR_private,CPR_public
Bahamas,15.9,2.2
Bolivia (Plurinational State of),4.5,3.5
Brazil,11.3,
Burkina Faso,2.9,2.2
Burundi,2.8,1.7
China,1.4,1.6
Colombia,3.1,
Congo,11.5,6.5
Cook Islands,4.5,
Democratic Republic of the Congo,2.3,2
Dominican Republic,9.4,1.2
Ecuador,5,
El Salvador,16.4,
Haiti,7.3,4.8
India,86.3,33.1
Indonesia,2,1.8
Iran (Islamic Republic of),1.3,1.3
Kyrgyzstan,3.4,
Malawi,3.9,
Mauritius,5.9,
Mexico,4.7,
Nicaragua,5.7,
Niger,3.9,2.9
Oman,7.4,
Peru,5.6,1.4
Philippines,10.8,10.8
Republic of Moldova,4.7,5.2
Russian Federation,4.1,2.7
Rwanda,3.6,1.7
Sao Tome and Principe,13.8,2.4
Ukraine,3.7,4
Zambia,4.7,
